,score,star,release,duration,region,derector,actors
毒液：致命守护者,7.3,40,2018,107分钟(中国大陆),美国 中国大陆,鲁本·弗雷斯彻,汤姆·哈迪 / 米歇尔·威廉姆斯 / 里兹·阿迈德
名侦探柯南：零的执行人,5.8,30,2018,110分钟,日本,立川让,高山南 / 山口胜平 / 山崎和佳奈
你好，之华,7.7,40,2018,114分钟,中国大陆,岩井俊二,周迅 / 秦昊 / 杜江
我的冤家是条狗,0,00,2018,95分钟,英国,曼迪·弗莱彻,比蒂·埃德蒙森 / 艾德·斯克林 / 珍妮弗·桑德斯
飓风奇劫,5.9,30,2018,103分钟,美国,罗伯·科恩,托比·凯贝尔 / 玛姬·格蕾斯 / 瑞恩·柯万腾
三国杀·幻,0,00,2018,94分钟,中国大陆,吕柯憬,郑伊健 / 于荣光 / 谢天华
胡桃夹子和四个王国,6.1,30,2018,99分钟,美国,拉斯·霍尔斯道姆 乔·庄斯顿,麦肯吉·弗依 / 摩根·弗里曼 / 凯拉·奈特莉
开学悸,0,00,2018,86分钟,中国大陆,高朋 刘鼎业,秦语 / 曾淇 / 赵艺
流浪猫鲍勃,8.0,40,2016,103分钟,英国,罗杰·斯波蒂斯伍德,卢克·崔德威 / 猫鲍勃 / 露塔·格德米纳斯
破梦游戏,0,00,2018,104分钟,中国大陆,韩琰,陈都灵 / 宋威龙 / 张宥浩
嗝嗝老师,7.5,40,2018,116分钟(中国大陆),印度,西达夫·马贺拉,拉妮·玛克赫吉 / 内拉吉·卡比 / 萨钦
无双,8.2,40,2018,130分钟,中国大陆 香港,庄文强,周润发 / 郭富城 / 张静初
昨日青空,6.1,30,2018,82分钟,中国大陆,奚超,苏尚卿 / 王一博 / 段艺璇
铁血战士,5.1,25,2018,106分钟(中国大陆),美国 加拿大,沙恩·布莱克,波伊德·霍布鲁克 / 崔凡特·罗兹 / 雅各布·特伦布莱
超能泰坦,4.6,25,2018,97分钟,美国 英国,伦纳特·拉夫,萨姆·沃辛顿 / 泰勒·席林 / 汤姆·威尔金森
冰封侠：时空行者,2.7,15,2018,87分钟,中国大陆 香港,叶伟民,甄子丹 / 黄圣依 / 王宝强
滴答屋,5.6,30,2018,104分钟,美国 印度 加拿大,伊莱·罗斯,杰克·布莱克 / 凯特·布兰切特 / 欧文·瓦卡罗
雪怪大冒险,7.7,40,2018,96分钟,美国,凯瑞·柯克帕特里克 杰森·雷西格,查宁·塔图姆 / 詹姆斯·柯登 / 赞达亚
恐龙王,0,00,2018,95分钟,中国大陆,施雅雅,吕佩玉 / 王衡 / 孙晔
地层深处,0,00,2015,90分钟,中国大陆,宋占涛,
阴阳眼之瞳灵公馆,0,00,2018,85分钟,中国大陆,张明伟,苑琼丹 / 景岗山 / 文熙
玛雅蜜蜂历险记,6.6,35,2014,88分钟(中国大陆),澳大利亚 德国,亚力克斯·施塔德曼,柯蒂·斯密特-麦菲 / 诺亚·泰勒 / 理查德·劳斯伯格
找到你,7.5,40,2018,102分钟,中国大陆,吕乐,姚晨 / 马伊琍 / 袁文康
阿拉姜色,7.6,40,2018,109分钟,中国大陆,松太加,容中尔甲 / 尼玛颂宋 / 赛却加
你美丽了我的人生,0,00,2018,90分钟,中国大陆,阎清秀 于德安,玉米提 / 古丽米娜·麦麦提 / 金星
午夜幽灵,0,00,2018,81分钟,中国大陆,李耀东,宫哲 / 廖娟 / 梅俪儿
帝企鹅日记2：召唤,7.2,35,2017,85分钟,法国,吕克·雅盖,朗贝尔·维尔森 / 托马斯·阿克达 / 摩根·弗里曼
